"cv","asynchronyB","asynchronyW","diversity","landscape","size","rep"
0.247024955891435,0,0.8577118183,1,"specialized",1,1
0.127758410335289,0.4263651012,0.64209710585,2,"specialized",1,1
0.152087095867998,0.2206867903,0.5538789594,3,"specialized",1,1
0.22066132927036,0.5395401449,0.3842730498,4,"specialized",1,1
0.101826082379412,0.8584702834,0.45567341788,5,"specialized",1,1
0.153846148991475,0.7787513238,0.56682225295,6,"specialized",1,1
0.191626248901226,0.5826564666,0.2722220675,7,"specialized",1,1
0.185381620794845,0.6610535292,0.303337438675,8,"specialized",1,1
0.174066641832729,0.7519297268,0.3436592518,9,"specialized",1,1
0.122623412032736,0.83396496,0.25638648337,10,"specialized",1,1
0.167466888816827,0,0.86643619,1,"fragmented",1,1
0.177727641688552,0.1049738414,0.62955371465,2,"fragmented",1,1
0.115704073571304,0.2832744573,0.6105008902,3,"fragmented",1,1
0.120571730865622,0.4019685096,0.625210936725,4,"fragmented",1,1
0.167529910500432,0.6531538188,0.58772293292,5,"fragmented",1,1
0.149291474327346,0.6303865094,0.66727660825,6,"fragmented",1,1
0.167844565536791,0.6555673604,0.524803225657143,7,"fragmented",1,1
0.0915396012835872,0.8594299732,0.568695715475,8,"fragmented",1,1
0.136071168096598,0.6872237648,0.526886164255556,9,"fragmented",1,1
0.106226590390325,0.8479451716,0.35187118527,10,"fragmented",1,1
0.20944865655213,0,0.8430338119,1,"diversified",1,1
0.100032146239279,0.0630728833,0.8292306041,2,"diversified",1,1
0.117463889569519,0.0502907171,0.744098288333333,3,"diversified",1,1
0.257644357255064,0.1326846167,0.669638460775,4,"diversified",1,1
0.129846252302394,0.3647897806,0.80917504754,5,"diversified",1,1
0.190663406241724,0.3705487141,0.7060535553,6,"diversified",1,1
0.0968684727702646,0.7478609111,0.691334781428571,7,"diversified",1,1
0.191558645070463,0.3100162584,0.65592040505,8,"diversified",1,1
0.116522688529298,0.3758749575,0.7600782743,9,"diversified",1,1
0.148699601598422,0.3687519394,0.71984254485,10,"diversified",1,1
0.218084203922878,0,0.6691129152,1,"specialized",2,1
0.149493529972556,0.2689650409,0.51352690065,2,"specialized",2,1
0.129480517202538,0.229865543,0.484804666133333,3,"specialized",2,1
0.172367226391515,0.4924090567,0.554294573275,4,"specialized",2,1
0.162620661133604,0.6220527215,0.35477889526,5,"specialized",2,1
0.217314995279711,0.4764353602,0.451658512416667,6,"specialized",2,1
0.223095691898415,0.5810791234,0.3699161905,7,"specialized",2,1
0.11235632259866,0.727921889,0.5191275311875,8,"specialized",2,1
0.166370300691497,0.548863072,0.457135271044444,9,"specialized",2,1
0.15378202352443,0.6403654929,0.43379947436,10,"specialized",2,1
0.196629575929334,0,0.8303808328,1,"fragmented",2,1
0.153012839883773,0.1532036552,0.66041088425,2,"fragmented",2,1
0.102374929751153,0.2564137162,0.732611035366667,3,"fragmented",2,1
0.140411959390361,0.3116752537,0.7624947454,4,"fragmented",2,1
0.127041044903228,0.5628592652,0.6378411497,5,"fragmented",2,1
0.0804988071685764,0.8528768019,0.7470910127,6,"fragmented",2,1
0.11589030696252,0.7212407294,0.637336909542857,7,"fragmented",2,1
0.155699065502874,0.5727307886,0.5456548950125,8,"fragmented",2,1
0.155442022527687,0.5455795718,0.5259915334,9,"fragmented",2,1
0.0774468830887547,0.7720120134,0.67257462201,10,"fragmented",2,1
0.348000784478247,0,0.6094032766,1,"diversified",2,1
0.163865977153044,0.0527191711,0.68789338865,2,"diversified",2,1
0.144845457873979,0.102086105,0.7179386524,3,"diversified",2,1
0.20651716579927,0.1614233955,0.63405100525,4,"diversified",2,1
0.155492715361268,0.216770382,0.76225899134,5,"diversified",2,1
0.122318053253129,0.6943611729,0.685455779416667,6,"diversified",2,1
0.150924655281763,0.566470074,0.666018102371429,7,"diversified",2,1
0.10990351910479,0.66226316,0.703282755575,8,"diversified",2,1
0.0811898524230865,0.7277825107,0.677441940933333,9,"diversified",2,1
0.119553781447832,0.6752980268,0.6971291814,10,"diversified",2,1
0.174753812903882,0,0.7431484529,1,"specialized",3,1
0.0837088657257873,0.5284390716,0.69994125175,2,"specialized",3,1
0.128050399798205,0.238168455,0.410161435233333,3,"specialized",3,1
0.158036927667025,0.5466395652,0.394159712825,4,"specialized",3,1
0.192529896927009,0.3956629923,0.45616701288,5,"specialized",3,1
0.141300421389327,0.4904913926,0.427491308216667,6,"specialized",3,1
0.1369742884121,0.5812927276,0.395065660757143,7,"specialized",3,1
0.0889683535906179,0.6907563405,0.5123785260125,8,"specialized",3,1
0.107025893833021,0.6607868748,0.446005496255556,9,"specialized",3,1
0.0928123522671502,0.862934576,0.46224206986,10,"specialized",3,1
0.2596762691337,0,0.7670363863,1,"fragmented",3,1
0.187179484801531,0.019052279,0.47447573515,2,"fragmented",3,1
0.078624218434717,0.1282925537,0.773880783233333,3,"fragmented",3,1
0.139660195618258,0.3690374761,0.68709108525,4,"fragmented",3,1
0.0961680616549852,0.5971172946,0.70001173134,5,"fragmented",3,1
0.190541212426649,0.4305783425,0.499998048483333,6,"fragmented",3,1
0.0928028257467887,0.6709211166,0.589577986814286,7,"fragmented",3,1
0.0876785800777546,0.7319607814,0.5466995556125,8,"fragmented",3,1
0.0970726624062616,0.5142250953,0.650927261022222,9,"fragmented",3,1
0.07330690339526,0.7959827346,0.5648980143,10,"fragmented",3,1
0.20686819981073,0,0.6397771986,1,"diversified",3,1
0.111075812743888,0.0068916758,0.7418550024,2,"diversified",3,1
0.0797465226185563,0.031794656,0.838225114333333,3,"diversified",3,1
0.118723031671795,0.2306935592,0.7122411005,4,"diversified",3,1
0.0948681438299992,0.8041620168,0.70568683868,5,"diversified",3,1
0.0863277914891888,0.6020455334,0.734419405683333,6,"diversified",3,1
0.0810103751614968,0.5117037392,0.749402691371429,7,"diversified",3,1
0.0689412333973628,0.7958785665,0.56625076045,8,"diversified",3,1
0.0953341401916453,0.7782309425,0.459150308288889,9,"diversified",3,1
0.0771177064247041,0.7358335454,0.63565838144,10,"diversified",3,1
0.239205617960633,0,0.8185374609,1,"specialized",1,2
0.157455593637917,0.4092412131,0.5497681993,2,"specialized",1,2
0.0948077970760463,0.6248110242,0.527280233666667,3,"specialized",1,2
0.117219285379735,0.4188048217,0.568818622475,4,"specialized",1,2
0.169214697871519,0.6222114762,0.52392640928,5,"specialized",1,2
0.14600566768822,0.6577145789,0.507481312516667,6,"specialized",1,2
0.203729027509823,0.4599464205,0.395403687971429,7,"specialized",1,2
0.206714032221008,0.6671061976,0.3832431679375,8,"specialized",1,2
0.156043757774093,0.7817538265,0.209094261833333,9,"specialized",1,2
0.187199001826046,0.6967990371,0.22857636446,10,"specialized",1,2
0.194754807271217,0,0.8806589707,1,"fragmented",1,2
0.130897860939876,0.1058376823,0.6826436092,2,"fragmented",1,2
0.121510683062159,0.2813448811,0.7234009277,3,"fragmented",1,2
0.0924844413481096,0.5161887368,0.75031037585,4,"fragmented",1,2
0.127173648730574,0.5959854596,0.50661598002,5,"fragmented",1,2
0.139295547516721,0.6319523431,0.505911941516667,6,"fragmented",1,2
0.193461342300123,0.5620168366,0.589568656857143,7,"fragmented",1,2
0.118503639979268,0.7062567012,0.627607504475,8,"fragmented",1,2
0.159987198078749,0.6663177032,0.434904835166667,9,"fragmented",1,2
0.144620555272519,0.8191412429,0.41923866888,10,"fragmented",1,2
0.271749376772736,0,0.7690231399,1,"diversified",1,2
0.151083533184188,0.0296320763,0.7685923557,2,"diversified",1,2
0.17633083722944,0.0288535457,0.698714290733333,3,"diversified",1,2
0.111543682891507,0.2590597547,0.77076956085,4,"diversified",1,2
0.148869500204919,0.5002178499,0.75092131196,5,"diversified",1,2
0.147371368411018,0.5280148643,0.584476363666667,6,"diversified",1,2
0.172016267678842,0.4163699021,0.671983257814286,7,"diversified",1,2
0.179878646731597,0.3781314725,0.748381659575,8,"diversified",1,2
0.130833221570236,0.5238344985,0.750112775866667,9,"diversified",1,2
0.108078111503206,0.6254298303,0.79147394362,10,"diversified",1,2
0.306498888974146,0,0.7425184754,1,"specialized",2,2
0.192751312203183,0.4212086921,0.5413310879,2,"specialized",2,2
0.135375417584152,0.2469664329,0.5252056387,3,"specialized",2,2
