"district","Year","timePeriod","Production","AreaHarvested"
1,1999,1999,189350830685,7703.96
3,1999,1999,379689695090.1,15944.1
7,1999,1999,108819509384.6,5567.26
10,1999,1999,29962928984.1,1761.28
12,1999,1999,269817069735.7,17184.48
13,1999,1999,461931194844.86,20389.1128
15,1999,1999,869245385213.6,43532.9
16,1999,1999,311090704960.1,17138.94
51,1999,1999,23933062424.3,974.8
53,1999,1999,43200560888.5,1445.85
55,1999,1999,79198808918.6,3580.35
57,1999,1999,95667724990.9,4269.25
59,1999,1999,26707833199.2,1109.6
64,1999,1999,60353909027.6,2489.71
65,1999,1999,42374781481.6,2084.23
66,1999,1999,70660628064.8,3391.55
81,1999,1999,89958974392.4,3876.85
82,1999,1999,42879773192.8,1990.87
83,1999,1999,7575381491.6,399.16
84,1999,1999,21739348797.1,1038.89
91,1999,1999,69840647141.1,2561.8
92,1999,1999,64874669170.5,2510.93
93,1999,1999,35764766437.2,1467.57
94,1999,1999,38457832233,2190.8
95,1999,1999,56693426541.5,2499.38
96,1999,1999,62277441993.3,2859.24
97,1999,1999,38909869783.4,1563.94
145,1999,1999,51132993904.1,3062.63
146,1999,1999,164450596135.4,8736.14
147,1999,1999,106330601374.8,4669.32
1,2000,1999,202401549792.5,7489.44
3,2000,1999,411548273254.1,15810.77
7,2000,1999,110581334111.8,5538.82
10,2000,1999,27100699824.702,1593.7882
12,2000,1999,305490442399.6,17295.97
13,2000,1999,485254135959.44,19956.976
15,2000,1999,958365000707.7,41447.67
16,2000,1999,332135510364.9,16847.16
51,2000,1999,26708628706.9,967.62
53,2000,1999,49634542298.6,1495.47
55,2000,1999,84189946470.4,3565.14
57,2000,1999,107671075704.5,4190.35
59,2000,1999,26868000919.3,1074.73
64,2000,1999,61183338264.6,2427.11
65,2000,1999,42697566863.1,2047.64
66,2000,1999,75861103352.5,3407.7
81,2000,1999,86054132438.1,3854.4
82,2000,1999,46010252471.8,2062.27
83,2000,1999,6543797632.9,387.65
84,2000,1999,21371819102.9,1052.81
91,2000,1999,63402532286.2,2516.22
92,2000,1999,61499403104.5,2432.96
93,2000,1999,34115508885.5,1467.87
94,2000,1999,37458067723.5,2201.14
95,2000,1999,53680805274.8,2412.95
96,2000,1999,61085891285.6,2784.55
97,2000,1999,37321783135.1,1551.5
145,2000,1999,54064305594.32,2968.238
146,2000,1999,170501739828.556,8527.767
147,2000,1999,108760087127.2,4537.16
1,2001,1999,213546273552.7,7903.96
3,2001,1999,416138307898,16445.36
7,2001,1999,118092319462.8,5780.62
10,2001,1999,27576447546.17,1783.646
12,2001,1999,264662708180.6,18164.37
13,2001,1999,469415451165.9,20341.7432
