"REGION_ID","timePeriod","no","asynchrony0","asynchrony1","asynchrony2","metric","rep"
3,1999,1,0,0,0,"asynchronyBetween",1
3,1999,2,0.3803882138,0.3522523259,0.3623214859,"asynchronyBetween",1
3,1999,3,0.0686894483,0.0947332475,0.1214959703,"asynchronyBetween",1
3,1999,4,0.4245358367,0.4749889702,0.3024707338,"asynchronyBetween",1
3,1999,5,0.7192449447,0.7443371487,0.7762368249,"asynchronyBetween",1
3,1999,6,0.4642226483,0.5430608731,0.6048740785,"asynchronyBetween",1
3,1999,7,0.4511575286,0.5403607027,0.5930192516,"asynchronyBetween",1
3,1999,8,0.4724677651,0.5510546767,0.6962281903,"asynchronyBetween",1
3,1999,1,0,0,0,"asynchronyBetween",2
3,1999,2,0.280939884,0.2596131874,0.0764883716,"asynchronyBetween",2
3,1999,3,0.441690717,0.5292365084,0.5424150688,"asynchronyBetween",2
3,1999,4,0.1136001747,0.1648887323,0.3303794742,"asynchronyBetween",2
3,1999,5,0.4622188884,0.5262148933,0.561818289,"asynchronyBetween",2
3,1999,6,0.5545696821,0.5971993863,0.4725301133,"asynchronyBetween",2
3,1999,7,0.4708157163,0.5376454894,0.6791012929,"asynchronyBetween",2
3,1999,8,0.4724677651,0.5510546767,0.6962281903,"asynchronyBetween",2
3,1999,1,0,0,0,"asynchronyBetween",3
3,1999,2,0.0933824363,0.1345727856,0.0667980255,"asynchronyBetween",3
3,1999,3,0.5217853117,0.5242455242,0.4413208013,"asynchronyBetween",3
3,1999,4,0.7099405945,0.7680416745,0.7616005285,"asynchronyBetween",3
3,1999,5,0.4863344139,0.5507325859,0.7024178724,"asynchronyBetween",3
3,1999,6,0.4642226483,0.5430608731,0.6048740785,"asynchronyBetween",3
3,1999,7,0.4518472731,0.5527191242,0.7189243846,"asynchronyBetween",3
3,1999,8,0.4724677651,0.5510546767,0.6962281903,"asynchronyBetween",3
3,1999,1,0,0,0,"asynchronyBetween",4
3,1999,2,0.0932991186,0.0911911944,0.0603699546,"asynchronyBetween",4
3,1999,3,0.111666747,0.0952918101,0.0685642053,"asynchronyBetween",4
3,1999,4,0.2106964619,0.265096506,0.6002883572,"asynchronyBetween",4
3,1999,5,0.4103558818,0.4174563018,0.5372612703,"asynchronyBetween",4
3,1999,6,0.610373323,0.695821147,0.6947947197,"asynchronyBetween",4
3,1999,7,0.4518472731,0.5527191242,0.7189243846,"asynchronyBetween",4
3,1999,8,0.4724677651,0.5510546767,0.6962281903,"asynchronyBetween",4
3,1999,1,0,0,0,"asynchronyBetween",5
3,1999,2,0.1114980866,0.1956317742,0.1654435483,"asynchronyBetween",5
3,1999,3,0.156241877,0.2323412674,0.5254671753,"asynchronyBetween",5
3,1999,4,0.3733304705,0.3807852387,0.2608293348,"asynchronyBetween",5
3,1999,5,0.4103558818,0.4174563018,0.5372612703,"asynchronyBetween",5
3,1999,6,0.4547515488,0.5376961225,0.5811171758,"asynchronyBetween",5
3,1999,7,0.4708157163,0.5376454894,0.6791012929,"asynchronyBetween",5
3,1999,8,0.4724677651,0.5510546767,0.6962281903,"asynchronyBetween",5
3,1999,1,0,0,0,"asynchronyBetween",6
3,1999,2,0.4360243707,0.5229358846,0.5382136883,"asynchronyBetween",6
3,1999,3,0.2556084284,0.2524078734,0.2943373657,"asynchronyBetween",6
