"district","timePeriod","nFarms","nCrops","nCropsFarmMin","nCropsFarmMax","stabilityProduction0","stabilityProduction1","stabilityProduction2","asynchronyBetween_region0","asynchronyBetween_region1","asynchronyBetween_region2","asynchronyBetween_farm0","asynchronyBetween_farm1","asynchronyBetween_farm2","asynchronyWithin0","asynchronyWithin1","asynchronyWithin2","areaHarvested"
3,1999,466,8,1,6,11.868239817699,14.828328635493,30.8708385934535,0.4724677651,0.5510546767,0.6962281903,0.458801313526095,0.49191127544279,0.511616858936317,0.798404815044034,0.792749232248352,0.820931742980955,172083.55
3,2009,409,7,1,6,19.3494856352336,27.2369271339011,42.3373368015755,0.729258799,0.8346204013,0.7928410011,0.54995397857418,0.576418559027086,0.587218512700269,0.845937212669359,0.823604945078498,0.85736968771908,221052.2872
81,1999,197,8,1,5,9.46961325766176,13.7172086696193,17.7127142680751,0.3279474329,0.3701631457,0.3278558694,0.478149730924074,0.508441457823197,0.495550507869257,0.794421815770486,0.844975091367617,0.811993417534027,42544.3526
81,2009,285,8,1,5,16.1658151078107,23.1622878897166,42.0274828755151,0.7031070116,0.8144832506,0.8238018611,0.532208877380149,0.552297610059522,0.572713203629159,0.851060546828793,0.840103585951622,0.870785856082521,77313.7052
51,1999,54,6,1,4,12.6527717951861,17.788812051906,32.6306741889404,0.579095433,0.5809509028,0.6188351637,0.440146749993664,0.464975909078246,0.534030674039737,0.787116803952735,0.831761424632146,0.841095247446597,9998.39
51,2009,65,7,1,5,9.88393738509384,15.7715939724023,23.3260083431243,0.4742660025,0.6732634102,0.5630512643,0.463520349379988,0.502166971188036,0.49324099516904,0.786408294887755,0.81143068798689,0.845640878926796,17540.729
146,1999,43,7,1,6,6.93946816594466,7.33035330807242,11.0041999216678,0.3542679875,0.2552675494,0.286059595,0.474877009831836,0.444346799851643,0.397995062750057,0.572130004850993,0.564913458340206,0.509627738005832,87905.0683
146,2009,41,7,1,5,9.21836440634495,10.1554299799195,24.9076684076425,0.4808518068,0.5015144532,0.6514359397,0.525895417961437,0.53666359370026,0.579401420906017,0.704500258061793,0.680895332274821,0.791762069244479,42018.0582
57,1999,115,7,1,5,13.3921757674657,21.0523092364538,49.7327625741348,0.4167261443,0.5368529178,0.715833166,0.564266424698592,0.614799913796999,0.650280606342039,0.8390831740504,0.880190607970704,0.899690366715735,44840.09
57,2009,140,7,1,5,24.2577085553176,32.8693203102681,49.7907783677165,0.8593116148,0.9049403904,0.9107720891,0.611454425499729,0.642697541890843,0.659417935680238,0.828612546164923,0.817705881495322,0.808725276732003,64192.4335
66,1999,164,7,1,5,9.39061030158336,19.617421482192,38.2452858614291,0.229638142,0.4659864344,0.564869275,0.48044196684129,0.548621651465294,0.551482565907269,0.803285752348693,0.889268848312592,0.900487194359538,38743.88
66,2009,40,6,1,5,14.5924031748915,14.5957952457188,23.7167618024739,0.6088290964,0.6049685303,0.6974895647,0.564976465515779,0.607284704923009,0.628903419602888,0.753676124386268,0.694830312506159,0.689250123205834,18553.23
59,1999,42,7,1,4,11.9584877209009,19.9128232691823,77.8227774600452,0.5315037531,0.6594007309,0.9177251345,0.562628044577643,0.608569329192607,0.679146611501835,0.745695072797813,0.808080504336199,0.868537553166882,12027.66
